q000 q001 q002 q003 q004 q005 q006 q007 q008 q009 - -
q001 ---- q010 q011 q012 ---- q013 q014 q015 q016 5 -
q002 q010 ---- q074 q079 ---- q084 q089 q095 q100 5 -
q003 q011 q074 ---- q106 ---- q111 q116 q121 q126 5 -
q004 q012 q079 q106 ---- ---- q131 q136 q141 q146 5 -
q005 ---- q184 q201 q207 ---- q225 q230 q236 q241 1 -
q006 q013 q084 q111 q131 ---- ---- q152 q158 q164 5 -
q007 q014 q089 q116 q136 ---- q152 ---- q169 q174 5 -
q008 q015 q095 q121 q141 ---- q158 q169 ---- q179 5 -
q009 q016 q100 q126 ---- ---- q164 q174 q179 ---- 5 -
q010 ---- ---- ---- q017 ---- q018 q019 q020 q021 3 -
q011 ---- ---- ---- q026 ---- q027 q028 q029 q030 2 -
q012 ---- q035 q036 ---- ---- q037 ---- q038 q039 7 -
q013 ---- q044 ---- q045 ---- ---- q046 q047 q048 3 -
q014 ---- q054 q055 ---- ---- q056 ---- q057 q058 4 -
q015 ---- q063 q064 q065 ---- q066 ---- ---- q067 7 -
q016 ---- ---- q025 q034 ---- q043 q052 q053 ---- 2 -
q017 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q018 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q019 ---- ---- ---- ---- ---- q022 ---- q023 q024 4 -
q020 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q021 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q022 ---- ---- ---- ---- ---- ---- ---- ---- q247 8 -
q023 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q024 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q025 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q026 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q027 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q028 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q029 ---- ---- ---- ---- ---- q031 q032 ---- q033 4 -
q030 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q031 ---- ---- ---- ---- ---- ---- q247 ---- ---- 9 -
q032 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q033 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q034 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q035 ---- ---- ---- ---- ---- ---- ---- ---- ---- 3 -
q036 ---- ---- ---- ---- ---- q040 ---- q041 q042 2 -
q037 ---- ---- ---- ---- ---- ---- ---- ---- ---- 3 c
q038 ---- ---- ---- ---- ---- ---- ---- ---- ---- 3 c
q039 ---- ---- ---- ---- ---- ---- ---- ---- ---- 3 c
q040 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q041 ---- ---- ---- ---- ---- ---- ---- ---- q247 6 -
q042 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q043 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q044 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q045 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q046 ---- q049 ---- ---- ---- ---- ---- q050 q051 4 -
q047 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q048 ---- ---- ---- ---- ---- ---- ---- ---- ---- 7 c
q049 ---- ---- ---- ---- ---- ---- ---- ---- q247 8 -
q050 ---- q247 ---- ---- ---- ---- ---- ---- ---- 9 -
q051 ---- q247 ---- ---- ---- ---- ---- ---- ---- 8 -
q052 ---- ---- ---- ---- ---- ---- ---- ---- ---- 8 c
q053 ---- ---- q071 q072 ---- q073 ---- ---- ---- 7 -
q054 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q055 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q056 ---- q059 q060 ---- ---- ---- ---- ---- q061 8 -
q057 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q058 ---- ---- ---- ---- ---- ---- ---- ---- ---- 6 c
q059 ---- ---- ---- ---- ---- ---- ---- ---- q247 3 -
q060 ---- ---- ---- ---- ---- ---- ---- ---- ---- 2 c
